"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.743701750E-1,-1.972076297E-2,6.247195601E-2,3.005790710E-2,7.207726105E-2
3.794368410E-1,-2.188885212E-2,4.965671897E-2,4.609775543E-2,7.120333308E-2
3.845191330E-1,1.145625114E-2,5.366680026E-2,3.595638275E-2,6.560665059E-2
3.895560600E-1,4.246145487E-3,6.465682387E-2,3.541088104E-2,7.384080932E-2
3.946214770E-1,-5.320459604E-3,2.363270521E-2,-3.826427460E-2,4.528760047E-2
3.997167890E-1,6.494462490E-3,-3.325253725E-2,2.839469910E-2,4.420597486E-2
4.047831950E-1,2.039512992E-2,-2.091228962E-2,6.104373932E-2,6.767291402E-2
4.098501230E-1,1.149207354E-3,-3.939545155E-2,-1.774311066E-2,4.322198811E-2
4.148933000E-1,-1.767084002E-2,-3.873273730E-2,5.099868774E-2,6.643304658E-2
4.199715810E-1,-1.014670730E-2,-5.000314116E-2,1.012420654E-2,5.201701023E-2
4.250811640E-1,8.928239346E-3,-2.563855052E-2,6.669139862E-2,7.200549549E-2
4.301092370E-1,2.307400107E-2,-1.578542590E-2,-1.455688477E-2,3.151970956E-2
4.351678830E-1,-1.265051961E-2,5.596637726E-3,4.539489746E-3,1.455901670E-2
4.402344450E-1,-1.722952724E-2,1.266729832E-2,-2.460479736E-4,2.138638808E-2
4.453003310E-1,-5.097895861E-3,-1.576581597E-2,2.340221405E-2,2.867425880E-2
4.503713200E-1,4.463255405E-3,2.469226718E-2,3.019714355E-2,3.926189229E-2
4.554359040E-1,-1.694181561E-2,3.384763002E-2,2.272319794E-2,4.414783006E-2
4.605006950E-1,-1.838803291E-4,1.923623681E-2,1.534271240E-2,2.460620740E-2
4.655630390E-1,-2.459228039E-3,3.088292480E-2,9.565353394E-4,3.099544815E-2
4.706410600E-1,-3.315421939E-2,6.846278906E-3,3.880405426E-2,5.149590688E-2
4.756945500E-1,3.114938736E-4,1.854819059E-2,5.204200745E-3,1.926696935E-2
4.807626750E-1,1.686155796E-2,2.537938952E-2,-9.062767029E-3,3.178929530E-2
4.858415290E-1,2.133074403E-2,-5.691468716E-3,4.549503326E-2,5.056868110E-2
4.908909040E-1,2.124071121E-3,-1.735961437E-2,2.129554749E-2,2.755663680E-2
4.959775700E-1,2.102577686E-2,-5.025896430E-2,2.109527588E-3,5.452060979E-2
5.010424140E-1,1.361268759E-2,-2.131962776E-2,3.050518036E-2,3.962824523E-2
5.061059040E-1,-7.818460464E-3,-1.633784175E-2,1.121139526E-2,2.130137979E-2
5.111681430E-1,-1.011794806E-2,-3.989627957E-2,4.661846161E-2,6.218815771E-2
5.162346020E-1,1.130068302E-2,-2.044981718E-2,3.663253784E-2,4.344931862E-2
5.212965810E-1,-6.303787231E-4,-1.306232810E-2,1.964950562E-2,2.360349262E-2
5.263702790E-1,-1.011773944E-2,-1.291903853E-2,-2.558612823E-2,3.039605511E-2
5.314369450E-1,-1.007711887E-2,1.102510095E-2,7.638931274E-4,1.495609268E-2
5.364947580E-1,-1.704522967E-2,4.172560573E-2,7.553100586E-4,4.507922494E-2
5.415574140E-1,-9.721726179E-3,1.279318333E-2,1.496696472E-2,2.195876892E-2
5.466212160E-1,-2.154248953E-2,1.503497362E-2,5.986022949E-2,6.537106670E-2
5.516884040E-1,-2.850285172E-2,7.771253586E-3,4.717826843E-3,2.991760065E-2
5.567542890E-1,-6.937861443E-3,5.430251360E-3,3.076267242E-2,3.199943071E-2
5.618165290E-1,1.688611507E-2,1.012411714E-2,1.859664917E-2,2.708272494E-2
5.668811120E-1,1.580119133E-4,5.439519882E-4,2.315425873E-2,2.316118626E-2
5.719480390E-1,-3.306448460E-2,-3.029251099E-2,1.344013214E-2,4.681381757E-2
5.770136640E-1,-6.609648466E-3,5.590260029E-3,1.093673706E-2,1.394814244E-2
5.820813730E-1,-1.136052608E-2,-1.808363199E-2,3.721237183E-3,2.167779752E-2
5.871449140E-1,-8.894771338E-3,-3.446546197E-2,2.741622925E-2,4.492921824E-2
5.922148620E-1,5.364239216E-3,-2.216461301E-2,-6.055831909E-3,2.359487725E-2
5.973065290E-1,1.484349370E-2,-2.969741821E-3,-3.627777100E-3,1.556629174E-2
