"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)",vx
0.080542987,0.009610742331,-0.02474850416,0.09391021729,0.09759089987,0.00038703894731304135
0.085618716,-0.002155005932,-0.02656525373,0.09423923492,0.09793564293,0.0004059605960414213
0.090672779,0.006397247314,-0.00009328126907,0.1670179367,0.1671404339,0.0004166808736443389
0.095739081,-0.01952078938,0.04193475842,0.1524324417,0.1592960592,0.0003834369599363089
0.1008083,-0.002506196499,0.00746718049,0.05671310425,0.05725745365,0.00032760715227102966
0.105873873,-0.004471987486,0.02823576331,0.0704460144,0.07602564007,0.0003099329020793055
0.110949862,-0.001903831959,0.02571684122,0.06186676025,0.06702593918,0.0002937511073949024
0.116005956,-0.03240379691,0.01713365316,0.1138067245,0.1195639522,0.0002070198091555136
0.12109455,-0.02108037472,0.02913400531,0.08736610413,0.09447755614,0.00007094019172981946
0.126154966,-0.01509389281,0.1360488832,0.1055927277,0.1728784207,-0.000020588229368727
0.131204289,-0.009581655264,0.1628029943,0.006886482239,0.1632300422,-0.00008288563558255389
0.136288873,0.01351201534,0.08989802003,0.03790187836,0.09849254259,-0.00007289351260421994
0.141346945,0.00829616189,0.05319961905,0.04920196533,0.07293736465,-0.000017739847295169696
0.146486841,0.04628616571,0.03682667017,0.0193271637,0.06222661833,0.00012253389635579525
0.15148231,0.04171708226,-0.001464277506,0.05007457733,0.06519142855,0.00034234264492251934
0.156529498,-0.005792319775,-0.04699546099,-0.009330749512,0.0482616536,0.00043300215998108994
0.161603195,0.02408647537,-0.08119943738,0.007088661194,0.0849926823,0.00047941166116103207
0.166663873,0.03222322464,-0.0934125185,0.05249977112,0.1118948649,0.000621894291174635
0.171740175,-0.001073151827,-0.07789376378,0.03187847137,0.08417141455,0.0007009578796350245
0.176809706,-0.01012557745,-0.106785059,0.02365970612,0.1098424227,0.0006725717270198449
0.181866581,-0.01663422585,-0.08866274357,0.04341316223,0.100112348,0.0006049112368635013
0.186927258,-0.02051538229,-0.02991890907,0.03022480011,0.04721822288,0.0005109101531269456
0.191991841,-0.02659219503,-0.01030561328,0.01987743378,0.03476295263,0.00039162003549391723
0.19705981,-0.04860767722,-0.01927760243,0.01222705841,0.0537013333,0.0002010647248104369
0.202125956,-0.04921105504,-0.002472430468,0.02567863464,0.05556287545,-0.00004671726477159779
0.207194706,-0.03137588501,0.01623913646,0.0364074707,0.05073124911,-0.000250954790960817
0.212264185,-0.03733322024,0.04595634341,0.02132892609,0.0629339171,-0.00042511447404764894
0.217324133,-0.008276045322,0.04457995296,0.02994537354,0.05433774496,-0.0005405047300786046
0.222395956,-0.01030984521,-0.01014217734,0.00116443634,0.01450905171,-0.0005876369036164446
0.227560852,-0.002938270569,0.006438553333,0.01740169525,0.01878582978,-0.0006218494737136916
0.232533143,0.01119548082,-0.0007217824459,-0.006370544434,0.01290130215,-0.0006013208476056142
0.237594602,0.004035234451,-0.05416336656,-0.00852394104,0.05497827721,-0.0005627760271631941
0.242658508,0.02960291505,-0.04342240095,-0.01295852661,0.05412726573,-0.00047760581361968853
0.247724081,0.01947680116,-0.03989562392,-0.01028347015,0.04557144226,-0.00035329737097916896
0.252788404,0.03530341387,-0.03409767151,0.04600429535,0.06727092554,-0.00021458501951848136
0.257857883,0.03440830112,-0.02856907248,-0.0135345459,0.046725871,-0.00003788398192058667
0.262921737,0.04757425189,-0.01857432723,0.02652359009,0.05754837883,0.00016968985757436273
0.267989081,0.03935539722,-0.001764327288,0.03291034698,0.05133274861,0.00038994107549419595
0.273053508,0.01736477017,-0.01352378726,0.02980136871,0.03704793708,0.0005335686490814132
0.278122623,0.01227542758,-0.01087036729,0.01273727417,0.02076268674,0.000608693434590159
0.283189029,0.01901453733,0.02919256687,-0.001598358154,0.03487568407,0.0006879572675700652
0.288287623,0.01858612895,0.01689517498,0.0078125,0.02630449169,0.0007838125333156705
0.293319445,0.02051797509,0.01429355145,0.04281997681,0.04958672533,0.0008821949788150514
0.298386112,-0.008017957211,0.04689031839,0.02550983429,0.05397908153,0.0009138616928585207
0.303468404,-0.03373590112,0.01787754893,0.02264976501,0.04439290073,0.0008077590427761325
0.308539498,-0.0143468082,-0.01534345746,0.01280975342,0.02460370653,0.0006858430734079345
0.31359731,-0.004627943039,-0.0174330771,-0.001536369324,0.01810222264,0.00063785771115112
0.318657935,0.01194816828,-0.02883788943,0.005539894104,0.0317028866,0.0006563801685812376
0.323724602,-0.01174151897,-0.0353910625,0.0618391037,0.07221125479,0.0006569036802010121
0.328789706,0.004923671484,-0.05588874221,0.03013038635,0.0636838616,0.0006396371269146479
0.333844654,0.00006639957428,-0.047863096,0.006063461304,0.04824568302,0.0006522494017726031
0.338904289,0.02352854609,-0.03053432703,0.03183841705,0.04999622395,0.0007119403082256478
0.343968352,0.004326760769,-0.02063116431,0.0430431366,0.04792783542,0.0007824708226348012
0.349038404,0.01360484958,-0.001385360956,0.01876449585,0.02321890311,0.0008279279210913857
0.354105852,-0.005426049232,0.003404378891,0.03257656097,0.03320036341,0.0008486507438243216
0.359162362,-0.01011073589,0.03402647376,0.01790618896,0.03975750873,0.0008093697891556994
0.364233195,0.008887380362,0.04048642516,-0.01301956177,0.04344703834,0.0008062680733646422
0.36930981,-0.0007525384426,0.04915824533,-0.02695274353,0.05606736824,0.0008269168036199699
0.374370175,-0.01972076297,0.06247195601,0.0300579071,0.07207726105,0.000775115614668584
