"t (s)","a (m/s²)"
9.290665780E-1,1.200053096E-2
9.341262130E-1,-1.895728707E-2
9.391993380E-1,-4.524588585E-3
9.442616300E-1,-3.297191858E-2
9.493291300E-1,-3.510606289E-2
9.544070990E-1,-1.109161973E-2
9.594591300E-1,-3.853946924E-3
9.645326720E-1,3.378391266E-3
9.696272550E-1,-3.809958696E-3
9.747867340E-1,1.043537259E-2
9.797797550E-1,5.721122026E-3
9.848586610E-1,2.702537179E-2
9.899287130E-1,3.011375666E-3
9.949812650E-1,2.903819084E-3
1.000043765E0,1.467189193E-2
1.005110640E0,1.214349270E-2
1.010175432E0,-1.169162989E-2
1.015240797E0,4.073834419E-2
1.020306265E0,-1.421701908E-2
1.025375015E0,-3.065654635E-2
1.030465849E0,5.300253630E-3
1.035508245E0,-4.282116890E-3
1.040583453E0,2.422934771E-2
1.045649338E0,4.072967172E-2
1.050714963E0,2.383500338E-2
1.055756630E0,-1.440268755E-2
1.060819130E0,-1.901790500E-2
1.065882151E0,9.717732668E-3
1.070948036E0,2.391421795E-2
1.075994182E0,3.783673048E-2
1.081061474E0,-2.896100283E-3
1.086119599E0,-5.382031202E-3
1.091194859E0,1.601198316E-2
1.096254755E0,3.253149986E-2
1.101313609E0,8.370488882E-3
1.106380328E0,1.064565778E-2
1.111446422E0,-1.307010651E-2
1.116513922E0,-5.818665028E-3
1.121593088E0,1.552399993E-2
1.126645953E0,-6.012976170E-3
1.131710745E0,-8.316934109E-3
1.136816682E0,-1.060155034E-2
1.141865953E0,-1.287013292E-2
1.146979234E0,6.207734346E-3
1.152035484E0,1.423567533E-3
1.157102672E0,1.088047028E-2
1.162167307E0,-1.062622666E-2
1.167272411E0,-1.759299636E-2
1.172299442E0,1.118192077E-2
1.177364026E0,6.361871958E-3
1.182431526E0,6.324768066E-3
1.187521838E0,2.049452066E-2
1.192579495E0,6.094694138E-3
1.197623765E0,-2.476486564E-2
1.202698765E0,8.616179228E-3
1.207756265E0,-1.291802526E-2
1.212840640E0,-3.292292356E-3
1.217895067E0,1.565694809E-2
1.222982047E0,2.980405092E-2
1.228042724E0,1.759818196E-2
1.233080953E0,-1.583367586E-2
1.238141109E0,-6.126165390E-3
1.243227567E0,-1.323524117E-2
1.248277359E0,3.522455692E-3
1.253361890E0,-6.042569876E-3
1.258370328E0,-2.497252822E-2
1.263474130E0,-8.169293404E-3
1.268503817E0,2.506864071E-2
1.273568088E0,3.449290991E-3
1.278636838E0,-3.632515669E-3
1.283703765E0,1.167505980E-3
1.288769078E0,8.305847645E-3
1.293835067E0,3.553509712E-3
1.298913140E0,-2.269551158E-2
1.303971005E0,-1.773667336E-2
1.309045380E0,1.801633835E-2
1.314108713E0,-3.596276045E-3
1.319178713E0,5.847483873E-3
1.324298297E0,3.664982319E-2
1.329355849E0,1.973429322E-2
1.334422047E0,2.429029346E-2
1.339489286E0,-9.203016758E-3
1.344553557E0,-2.104020119E-2
1.349619338E0,5.308389664E-4
1.354686526E0,-1.856619120E-2
1.359752724E0,-4.194438457E-3
1.364818870E0,7.791727781E-3
1.369886005E0,1.254862547E-2
1.374952932E0,7.815837860E-3
1.380019338E0,3.125250340E-3
