time,ax,ay,az,am,gx,gy,gz,gm,velx,distx,button
1649246821.5419004,-0.0889892578125,0.04522705078125,0.97357177734375,0.9786759319451244,-1.28173828125,-0.18310546875,-8.36181640625,2.8221748099845927,0,0,1
1649246821.546991,-0.0889892578125,0.04522705078125,0.97357177734375,0.9786759319451244,6.7138671875,-1.708984375,-3.0517578125,3.8306550987581067,-0.0007164028356783092,-2.883679646195625e-06,1
1649246821.551884,-0.093017578125,0.04266357421875,0.97210693359375,0.9774785628065726,-6.04248046875,1.220703125,-6.9580078125,6.579068929402471,-0.0011629034561337903,-7.494008818711637e-06,1
1649246821.5567613,-0.093017578125,0.04266357421875,0.97210693359375,0.9774785628065726,2.86865234375,-0.3662109375,0.48828125,8.41377986054257,-0.0016170243179658428,-1.427994768130221e-05,1
1649246821.561633,-0.09503173828125,0.0435791015625,0.97503662109375,0.9806256073791199,-0.79345703125,1.8310546875,1.89208984375,5.866046921640902,-0.0020748288952745497,-2.326773520466667e-05,1
1649246821.5664835,-0.09503173828125,0.0435791015625,0.97503662109375,0.9806256073791199,0.3662109375,1.89208984375,2.50244140625,7.71775009844887,-0.002536064203013666,-3.4457190094185075e-05,1
1649246821.571345,-0.09429931640625,0.04522705078125,0.97760009765625,0.9831784162269661,-2.99072265625,-9.6435546875,7.568359375,6.250071525164462,-0.0029962894914206117,-4.7905216773129825e-05,1
1649246821.5761945,-0.09429931640625,0.04522705078125,0.97760009765625,0.9831784162269661,0.732421875,-1.40380859375,3.90625,7.608614278441124,-0.0034538800682639703,-6.355504819310562e-05,1
1649246821.5810454,-0.09063720703125,0.0421142578125,0.973388671875,0.9785061167637634,4.39453125,0.30517578125,-2.38037109375,2.2141549251973944,-0.0039024090219754726,-8.139635172533903e-05,1
1649246821.5858958,-0.09063720703125,0.0421142578125,0.973388671875,0.9785061167637634,-1.77001953125,1.46484375,0.06103515625,7.518976364469967,-0.004342099433415569,-0.00010139383087108544,1
1649246821.5907469,-0.088623046875,0.041015625,0.96917724609375,0.9740846268561137,1.46484375,-1.953125,5.9814453125,5.7334075028405165,-0.004776626592501998,-0.0001234976382025292,1
1649246821.5956223,-0.088623046875,0.041015625,0.96917724609375,0.9740846268561137,-2.62451171875,5.0048828125,0.732421875,5.743145505955929,-0.005208997114095837,-0.00014785636588513298,1
1649246821.6004841,-0.09136962890625,0.0406494140625,0.9722900390625,0.9774194104939027,-2.0751953125,-0.8544921875,3.23486328125,5.410827705223313,-0.005646222307404969,-0.00017422507999740548,1
1649246821.6053479,-0.09136962890625,0.0406494140625,0.9722900390625,0.9774194104939027,-2.5634765625,-1.0986328125,-3.41796875,2.3448941299192563,-0.006089923241233919,-0.00020272108464259534,1
1649246821.6102214,-0.09136962890625,0.0406494140625,0.9722900390625,0.9774194104939027,-0.30517578125,-8.85009765625,-3.72314453125,6.67658772962621,-0.006535584754601587,-0.0002335119670606083,1
1649246821.615071,-0.09136962890625,0.0406494140625,0.9722900390625,0.9774194104939027,-2.3193359375,-7.75146484375,1.220703125,6.173307035395646,-0.006979307472647633,-0.00026632847723450596,1
1649246821.6199462,-0.09136962890625,0.0406494140625,0.9722900390625,0.9774194104939027,2.13623046875,-6.9580078125,4.39453125,7.069020021443433,-0.00742442438058788,-0.0003014131364481873,1
1649246821.6248305,-0.09136962890625,0.0406494140625,0.9722900390625,0.9774194104939027,-1.52587890625,0.9765625,1.0986328125,10.060623112372822,-0.007870870125771035,-0.00033878069082828467,1
1649246821.6296794,-0.0933837890625,0.04248046875,0.973388671875,0.978780173899873,1.03759765625,2.197265625,6.04248046875,7.0360061665877165,-0.008318624626554083,-0.0003780163337758118,1
1649246821.6345837,-0.0933837890625,0.04248046875,0.973388671875,0.978780173899873,-2.86865234375,-5.55419921875,-8.23974609375,10.176045126980611,-0.008776804337685462,-0.00041995497635573514,1
1649246821.6394653,-0.09283447265625,0.04248046875,0.9715576171875,0.9769068702049528,1.52587890625,2.86865234375,-2.25830078125,3.5552651072291748,-0.009227953531080857,-0.000463574930246409,1
1649246821.6443195,-0.09283447265625,0.04248046875,0.9715576171875,0.9769068702049528,0.8544921875,-0.8544921875,-8.4228515625,11.24952606686387,-0.009681180454208516,-0.0005097330457068967,1
1649246821.6492453,-0.09393310546875,0.04339599609375,0.9759521484375,0.9814220482645293,0.79345703125,0.9765625,-1.46484375,7.020104369477185,-0.010140985468751751,-0.0005585334391262787,1
1649246821.6541278,-0.09393310546875,0.04339599609375,0.9759521484375,0.9814220482645293,0.244140625,-0.30517578125,1.220703125,5.477543981002093,-0.010597246902761981,-0.0006088993649276571,1
1649246821.6590106,-0.095947265625,0.04412841796875,0.97723388671875,0.9829238344880918,-1.28173828125,-2.01416015625,-5.31005859375,9.95471984685583,-0.011063538287999108,-0.000662092001289933,1
1649246821.663864,-0.095947265625,0.04412841796875,0.97723388671875,0.9829238344880918,-2.0751953125,-1.03759765625,-1.5869140625,2.891933042109896,-0.011529857612913474,-0.000716995791697126,1
1649246821.6687527,-0.09375,0.04449462890625,0.97393798828125,0.9794508867313527,-0.244140625,2.38037109375,1.220703125,7.2344041498309615,-0.011991945473710075,-0.0007742930839620722,1
1649246821.6737342,-0.09375,0.04449462890625,0.97393798828125,0.9794508867313527,-3.72314453125,6.65283203125,2.38037109375,3.128907621576244,-0.012451206712285057,-0.0008341639764826957,1
1649246821.6788177,-0.093017578125,0.04248046875,0.971923828125,0.9772884874706214,-1.46484375,5.37109375,3.662109375,2.1613685558625213,-0.012929157237522304,-0.0008991139983350119,1
